Year,Country,Region,Scenario,CO2_Emissions_mt,Temp_Anomaly_C,Renewable_Energy_%,Extreme_Events,Climate_Policy_Index,GDP_Billion,Population_Million,Sea_Level_mm,Methane_ppb
1963,USA,North America,Green,191.78,0.229,14.69,8,10.0,1684.14,226.91,38.02,1209.57
1964,USA,North America,Historical,280.1,0.438,7.14,5,10.0,1582.28,194.66,55.41,1219.31
1964,USA,North America,Current (2020-2026),325.6,0.327,4.98,8,10.0,1706.78,205.32,57.39,1233.65
1964,USA,North America,BAU,352.92,0.393,7.59,12,10.0,1567.72,192.51,69.35,1231.25
1964,USA,North America,Green,222.87,0.255,9.21,2,10.0,1682.03,194.24,43.01,1153.69
1965,USA,North America,Historical,317.77,0.455,6.91,5,10.0,1658.44,210.27,64.17,1221.46
1965,USA,North America,Current (2020-2026),284.68,0.245,6.12,6,10.0,1543.6,194.56,63.04,1235.73
1965,USA,North America,BAU,366.82,0.398,14.58,6,10.0,1662.99,210.98,80.22,1261.68
1965,USA,North America,Green,212.44,0.114,14.7,6,10.0,1666.88,216.41,50.66,1200.47
1966,USA,North America,Historical,295.92,0.303,12.72,4,10.0,1702.47,209.27,63.03,1233.82
1966,USA,North America,Current (2020-2026),288.01,0.351,10.88,8,10.0,1691.6,189.49,69.5,1268.05
1966,USA,North America,BAU,356.65,0.414,9.1,8,10.0,1591.99,219.19,78.97,1258.66
1966,USA,North America,Green,223.53,0.094,7.26,3,10.0,1687.11,185.42,53.33,1189.68
1967,USA,North America,Historical,324.83,0.284,5.11,2,10.0,1681.22,195.63,64.99,1239.88
1967,USA,North America,Current (2020-2026),292.24,0.311,11.59,8,10.0,1622.05,217.06,63.25,1227.91
1967,USA,North America,BAU,359.59,0.443,6.84,8,10.0,1718.09,208.58,88.22,1268.85
1967,USA,North America,Green,216.18,0.224,13.63,6,10.0,1559.74,185.97,48.23,1208.68
1968,USA,North America,Historical,321.11,0.351,7.77,10,10.0,1547.77,215.37,62.85,1256.81
1968,USA,North America,Current (2020-2026),307.79,0.323,3.64,6,10.0,1667.79,199.92,77.43,1255.51
1968,USA,North America,BAU,358.69,0.375,7.83,6,10.0,1658.75,184.92,88.39,1272.17
1968,USA,North America,Green,205.95,-0.012,10.69,2,10.0,1660.52,221.08,46.14,1209.45
1969,USA,North America,Historical,316.27,0.52,10.33,5,10.0,1701.06,228.68,74.47,1265.99
1969,USA,North America,Current (2020-2026),337.28,0.355,10.24,11,10.0,1657.51,224.81,72.87,1242.57
1969,USA,North America,BAU,369.24,0.464,9.69,7,10.0,1664.23,224.13,97.71,1274.76
1969,USA,North America,Green,220.88,0.218,10.13,4,10.0,1736.83,224.57,48.33,1232.98
1970,USA,North America,Historical,283.32,0.277,11.17,9,10.0,1654.19,234.39,72.71,1246.55
1970,USA,North America,Current (2020-2026),330.34,0.518,5.25,10,10.0,1713.34,192.1,81.22,1262.71
1970,USA,North America,BAU,356.27,0.465,8.32,11,10.0,1644.26,213.95,88.15,1302.98
1970,USA,North America,Green,208.27,0.046,10.29,2,10.0,1723.02,192.06,52.27,1214.54
1971,USA,North America,Historical,288.94,0.428,13.84,6,10.0,1692.44,226.33,75.36,1248.03
1971,USA,North America,Current (2020-2026),318.77,0.416,16.54,8,10.0,1684.56,235.85,80.08,1258.82
1971,USA,North America,BAU,369.26,0.537,10.86,9,10.0,1617.79,214.58,92.6,1304.33
1971,USA,North America,Green,230.7,0.269,5.42,9,10.0,1574.02,186.47,59.79,1187.7
1972,USA,North America,Historical,295.27,0.501,9.33,11,10.0,1718.7,235.76,81.09,1263.01
1972,USA,North America,Current (2020-2026),362.68,0.508,10.47,8,10.0,1549.17,241.41,89.53,1291.74
1972,USA,North America,BAU,356.14,0.632,13.86,7,10.0,1797.24,187.74,92.23,1290.72
1972,USA,North America,Green,222.57,0.281,15.83,8,10.0,1766.29,209.38,61.95,1187.45
1973,USA,North America,Historical,324.48,0.52,10.66,11,10.0,1687.13,185.27,83.13,1243.07
1973,USA,North America,Current (2020-2026),353.58,0.349,8.43,6,10.0,1606.1,208.31,94.84,1293.45
1973,USA,North America,BAU,410.54,0.523,12.19,9,10.0,1550.16,206.3,110.45,1270.21
1973,USA,North America,Green,235.11,0.097,22.33,8,10.0,1758.02,229.93,61.54,1221.12
1974,USA,North America,Historical,315.92,0.49,9.64,7,10.0,1622.87,204.86,84.51,1273.6
1974,USA,North America,Current (2020-2026),346.47,0.653,6.59,6,10.0,1657.87,192.88,92.0,1259.13
1974,USA,North America,BAU,360.22,0.627,7.72,10,10.0,1807.3,216.24,104.2,1308.48
1974,USA,North America,Green,223.68,0.412,14.18,6,10.0,1768.21,242.12,55.99,1205.74
1975,USA,North America,Historical,345.99,0.36,8.52,7,10.0,1777.72,213.28,91.97,1261.53
1975,USA,North America,Current (2020-2026),323.21,0.563,18.07,6,10.0,1753.71,242.48,90.95,1281.15
1975,USA,North America,BAU,381.49,0.644,12.69,14,10.0,1713.84,218.14,98.15,1293.93
1975,USA,North America,Green,248.99,0.454,14.26,7,10.0,1624.15,190.39,58.34,1202.2
1976,USA,North America,Historical,304.28,0.455,12.7,7,10.0,1802.85,229.72,82.22,1240.13
1976,USA,North America,Current (2020-2026),357.19,0.593,8.34,12,10.0,1683.37,189.32,97.29,1290.52
1976,USA,North America,BAU,373.36,0.718,10.59,7,10.0,1767.16,208.98,103.48,1337.83
1976,USA,North America,Green,209.46,0.365,15.43,8,10.0,1699.42,227.86,63.96,1219.82
1977,USA,North America,Historical,323.24,0.553,15.07,11,10.0,1577.33,251.17,85.84,1248.28
1977,USA,North America,Current (2020-2026),325.26,0.628,5.84,10,10.0,1823.53,220.24,97.53,1292.27
1977,USA,North America,BAU,386.28,0.78,11.16,11,10.0,1575.34,213.63,115.96,1332.73
1977,USA,North America,Green,228.29,0.228,16.81,8,10.0,1590.62,245.9,64.62,1245.86
1978,USA,North America,Historical,336.79,0.699,13.33,6,10.0,1665.12,190.33,93.47,1291.13
1978,USA,North America,Current (2020-2026),343.79,0.651,14.09,10,10.0,1687.0,193.03,93.7,1311.5
1978,USA,North America,BAU,412.39,0.865,10.0,14,10.0,1852.43,202.67,112.31,1315.73
1978,USA,North America,Green,224.07,0.302,17.8,6,10.0,1800.84,229.82,71.25,1203.3
1979,USA,North America,Historical,345.33,0.325,9.55,9,10.0,1813.58,239.87,88.49,1283.47
1979,USA,North America,Current (2020-2026),339.69,0.36,14.14,7,10.0,1559.17,203.38,102.3,1316.34
1979,USA,North America,BAU,382.98,0.748,14.51,11,10.0,1602.2,209.56,112.33,1330.54
1979,USA,North America,Green,211.34,0.517,12.9,9,10.0,1833.72,256.29,64.9,1257.3
1980,USA,North America,Historical,361.6,0.539,16.03,9,10.79,1768.38,253.63,96.97,1326.03
1980,USA,North America,Current (2020-2026),351.4,0.796,11.04,11,10.0,1721.3,237.3,103.17,1313.69
1980,USA,North America,BAU,386.47,0.625,14.8,10,10.0,1613.1,193.08,122.68,1363.71
1980,USA,North America,Green,248.88,0.432,15.93,4,10.0,1623.21,194.83,76.64,1251.12
1981,USA,North America,Historical,369.57,0.666,12.42,12,10.0,1750.42,243.98,103.84,1315.77
1981,USA,North America,Current (2020-2026),348.48,0.768,11.11,8,10.0,1703.51,233.45,106.52,1309.71
1981,USA,North America,BAU,416.75,0.815,14.06,11,10.0,1807.04,221.58,124.41,1355.82
1981,USA,North America,Green,245.91,0.447,22.18,7,10.0,1882.36,258.73,73.75,1230.47
1982,USA,North America,Historical,348.78,0.587,18.41,10,10.0,1759.75,226.37,113.51,1321.31
1982,USA,North America,Current (2020-2026),368.29,0.506,15.11,13,10.0,1615.17,222.64,109.2,1303.49
1982,USA,North America,BAU,416.82,0.75,16.77,13,10.0,1680.8,248.35,128.22,1349.32
1982,USA,North America,Green,226.22,0.389,21.05,7,10.0,1671.24,197.69,77.11,1239.54
1983,USA,North America,Historical,336.89,0.833,15.72,12,10.0,1802.68,186.17,98.7,1284.49
1983,USA,North America,Current (2020-2026),351.75,0.829,21.97,10,10.0,1762.9,231.78,123.18,1349.92
1983,USA,North America,BAU,420.34,0.934,14.38,11,10.0,1583.53,213.21,128.98,1371.93
1983,USA,North America,Green,241.34,0.498,24.0,5,10.0,1676.29,221.36,74.84,1248.07
1984,USA,North America,Historical,355.23,0.831,12.33,14,10.0,1607.04,220.27,112.91,1312.56
1984,USA,North America,Current (2020-2026),391.33,0.833,19.26,10,10.0,1683.14,188.19,116.2,1295.63
1984,USA,North America,BAU,412.71,0.888,10.92,10,10.0,1726.67,226.38,129.34,1363.45
1984,USA,North America,Green,266.96,0.593,18.65,6,10.0,1780.19,197.32,80.83,1278.54
1985,USA,North America,Historical,345.61,0.69,13.12,9,10.0,1665.29,251.03,114.34,1354.85
1985,USA,North America,Current (2020-2026),365.78,0.718,12.72,6,10.0,1692.43,263.04,118.46,1346.57
1985,USA,North America,BAU,410.46,0.724,14.98,10,10.0,1734.4,269.21,128.22,1337.7
1985,USA,North America,Green,233.05,0.546,18.04,8,11.59,1755.81,195.92,80.89,1271.36
1986,USA,North America,Historical,346.05,0.738,13.62,11,10.0,1630.39,268.86,100.39,1338.73
1986,USA,North America,Current (2020-2026),333.69,0.856,12.27,13,15.42,1592.3,231.0,119.84,1369.0
1986,USA,North America,BAU,409.88,0.839,11.43,11,10.0,1644.78,262.93,146.12,1370.16
1986,USA,North America,Green,259.34,0.288,20.7,7,22.99,1608.2,243.61,78.37,1283.97
1987,USA,North America,Historical,332.87,0.751,19.21,10,15.67,1871.4,221.66,122.9,1336.36
1987,USA,North America,Current (2020-2026),379.44,0.872,13.09,11,11.13,1893.69,267.22,121.7,1338.68
1987,USA,North America,BAU,431.69,0.832,19.35,11,10.0,1935.03,223.61,148.06,1360.75
1987,USA,North America,Green,245.31,0.501,24.34,10,21.14,1841.87,265.8,83.22,1257.44
1988,USA,North America,Historical,352.91,0.794,17.31,14,10.0,1754.32,261.34,125.7,1297.56
1988,USA,North America,Current (2020-2026),394.66,0.747,15.89,10,10.0,1846.8,261.73,124.81,1344.66
1988,USA,North America,BAU,414.97,0.913,18.29,13,11.85,1708.7,263.14,151.61,1396.07
1988,USA,North America,Green,236.58,0.47,22.81,6,15.3,1836.94,192.76,85.42,1262.82
1989,USA,North America,Historical,353.11,0.839,19.76,9,10.0,1695.07,206.3,132.19,1355.28
1989,USA,North America,Current (2020-2026),383.5,0.847,17.76,14,13.24,1677.42,270.96,131.99,1395.25
1989,USA,North America,BAU,417.66,0.963,17.04,14,10.0,1958.29,196.81,151.24,1383.29
1989,USA,North America,Green,257.14,0.477,22.87,9,10.0,1689.94,271.3,89.44,1283.81
1990,USA,North America,Historical,379.41,0.706,15.89,14,10.84,1616.0,209.58,134.19,1349.61
1990,USA,North America,Current (2020-2026),393.28,0.82,11.78,11,10.0,1874.67,191.18,136.0,1396.71
1990,USA,North America,BAU,433.21,0.99,14.21,17,10.0,1614.93,273.02,151.19,1419.5
1990,USA,North America,Green,257.03,0.55,25.75,3,15.09,1704.17,227.89,90.06,1302.47
1991,USA,North America,Historical,380.31,0.806,22.69,15,18.1,1676.26,236.35,131.21,1350.08
1991,USA,North America,Current (2020-2026),416.88,0.787,16.43,13,12.16,1882.77,235.76,130.76,1371.64
1991,USA,North America,BAU,419.42,0.95,12.44,15,10.0,1975.77,218.81,149.54,1377.87
1991,USA,North America,Green,233.64,0.506,25.49,9,10.0,1581.63,187.45,87.7,1263.46
1992,USA,North America,Historical,389.01,0.872,12.57,13,10.0,1617.62,247.77,133.36,1353.62
1992,USA,North America,Current (2020-2026),403.49,0.812,17.35,17,10.0,1994.4,199.8,132.96,1342.73
1992,USA,North America,BAU,418.92,0.868,15.36,16,10.0,1924.08,281.16,160.48,1402.34
1992,USA,North America,Green,282.42,0.543,26.35,8,10.0,1771.18,223.27,89.94,1262.26
1993,USA,North America,Historical,372.95,0.847,17.88,11,12.54,1871.14,223.35,134.71,1363.03
1993,USA,North America,Current (2020-2026),401.01,0.915,18.32,15,12.55,1890.35,199.04,133.41,1380.42
1993,USA,North America,BAU,443.03,1.069,14.45,12,10.0,1635.54,243.16,159.46,1443.31
1993,USA,North America,Green,274.8,0.455,25.4,7,24.09,1868.73,214.64,97.75,1272.09
1994,USA,North America,Historical,370.94,1.019,19.77,14,11.93,1723.14,246.74,139.05,1396.09
1994,USA,North America,Current (2020-2026),408.91,0.768,21.34,11,10.0,1771.38,201.63,140.21,1399.09
1994,USA,North America,BAU,470.56,1.227,13.43,15,10.0,1877.9,249.16,157.97,1399.31
1994,USA,North America,Green,261.89,0.497,25.41,7,18.5,1795.16,189.83,97.23,1289.13
1995,USA,North America,Historical,375.94,0.856,18.98,13,12.21,1714.66,281.16,145.49,1388.94
1995,USA,North America,Current (2020-2026),414.06,0.922,19.4,14,15.06,1757.01,222.67,138.41,1391.61
1995,USA,North America,BAU,486.56,1.293,17.31,17,10.0,1701.5,207.44,162.29,1426.64
1995,USA,North America,Green,234.62,0.523,27.27,7,18.75,1782.77,252.55,83.6,1286.78
1996,USA,North America,Historical,409.85,1.03,15.91,14,12.07,1802.43,244.98,139.47,1385.07
1996,USA,North America,Current (2020-2026),415.78,1.023,18.91,15,11.72,1645.31,271.71,150.11,1386.61
1996,USA,North America,BAU,456.13,1.182,19.06,16,10.0,1717.42,208.83,174.31,1424.09
1996,USA,North America,Green,234.29,0.721,34.89,11,19.84,2028.76,230.57,100.61,1308.9
1997,USA,North America,Historical,384.71,0.996,19.36,13,14.33,1977.61,284.03,148.17,1396.87
1997,USA,North America,Current (2020-2026),412.37,0.703,19.54,14,12.59,1904.99,265.57,145.76,1407.39
1997,USA,North America,BAU,439.34,1.071,14.08,18,17.01,1725.73,188.85,173.57,1456.5
1997,USA,North America,Green,258.73,0.65,27.23,11,23.66,1891.68,270.27,101.51,1320.9
1998,USA,North America,Historical,373.03,0.957,19.81,13,12.82,1755.24,199.64,144.28,1352.13
1998,USA,North America,Current (2020-2026),405.58,1.039,16.83,16,20.08,1616.69,195.44,144.21,1389.25
1998,USA,North America,BAU,449.41,1.115,18.73,17,11.64,1698.27,257.98,163.98,1449.2
1998,USA,North America,Green,290.79,0.64,22.46,4,21.98,1865.23,256.26,102.55,1293.17
1999,USA,North America,Historical,374.54,1.061,22.08,15,22.4,1662.83,274.42,161.3,1394.49
1999,USA,North America,Current (2020-2026),398.18,0.862,18.39,14,17.01,1948.75,223.11,154.88,1409.56
1999,USA,North America,BAU,469.3,1.183,19.0,15,10.39,1765.42,217.82,175.48,1444.48
1999,USA,North America,Green,276.34,0.713,27.43,12,21.54,1773.48,295.58,104.58,1294.84
2000,USA,North America,Historical,390.02,0.756,25.27,16,22.83,2061.09,274.36,156.18,1401.77
2000,USA,North America,Current (2020-2026),402.37,1.08,19.0,16,23.12,1620.52,228.65,157.5,1427.02
2000,USA,North America,BAU,436.0,1.096,15.15,15,11.86,1965.82,235.09,179.26,1466.53
2000,USA,North America,Green,283.76,0.67,23.88,12,23.02,1700.94,264.87,97.23,1326.36
2001,USA,North America,Historical,381.4,1.058,18.74,17,12.95,1947.43,210.79,160.71,1398.43
2001,USA,North America,Current (2020-2026),406.51,1.141,19.79,16,12.94,1729.97,284.54,158.98,1400.36
2001,USA,North America,BAU,471.05,1.008,24.32,19,15.02,2069.58,247.86,181.69,1442.38
2001,USA,North America,Green,287.18,0.765,29.91,11,24.67,1660.66,189.67,110.11,1325.34
2002,USA,North America,Historical,389.22,1.005,22.01,18,13.6,1602.06,223.12,147.66,1413.3
2002,USA,North America,Current (2020-2026),420.31,1.107,21.35,15,26.26,1798.8,223.49,162.23,1392.64
2002,USA,North America,BAU,502.31,1.27,17.42,19,10.0,1698.52,204.39,182.92,1497.63
2002,USA,North America,Green,261.8,0.724,28.95,11,31.44,1793.92,267.22,104.45,1291.85
2003,USA,North America,Historical,407.71,1.037,25.01,15,19.1,1677.63,188.84,158.26,1398.3
2003,USA,North America,Current (2020-2026),396.63,1.332,21.5,20,19.7,1641.81,220.79,164.47,1458.21
2003,USA,North America,BAU,503.86,1.091,13.37,18,14.41,2087.54,211.48,191.94,1446.04
2003,USA,North America,Green,310.86,0.728,24.58,11,23.6,2097.9,210.66,112.38,1320.88
2004,USA,North America,Historical,410.92,1.016,27.81,15,25.2,1946.69,207.79,153.53,1449.68
2004,USA,North America,Current (2020-2026),419.09,1.18,21.28,14,23.54,1770.08,291.13,165.65,1441.32
2004,USA,North America,BAU,483.33,1.292,24.22,18,15.49,1809.08,299.82,188.76,1471.01
2004,USA,North America,Green,303.82,0.828,27.32,7,33.12,2008.61,218.53,102.15,1341.85
2005,USA,North America,Historical,417.46,0.979,22.79,14,20.46,2101.63,259.93,165.93,1464.53
2005,USA,North America,Current (2020-2026),451.08,1.009,21.93,15,14.72,2072.32,304.99,169.68,1459.68
2005,USA,North America,BAU,510.46,1.347,13.85,19,11.74,1779.8,293.7,196.82,1437.92
2005,USA,North America,Green,291.1,0.73,30.79,13,23.89,2008.37,268.95,104.86,1333.89
2006,USA,North America,Historical,408.16,1.07,24.14,15,20.02,2123.17,216.56,165.17,1408.26
2006,USA,North America,Current (2020-2026),440.05,1.077,18.5,18,24.54,1832.54,226.19,179.22,1426.88
2006,USA,North America,BAU,498.2,1.338,20.83,19,15.73,1921.24,271.1,205.11,1497.71
2006,USA,North America,Green,274.11,0.643,31.6,12,37.43,2112.16,193.52,118.75,1300.94
2007,USA,North America,Historical,397.31,1.245,22.3,17,34.28,1809.32,307.07,183.05,1445.69
2007,USA,North America,Current (2020-2026),428.08,1.296,27.66,18,25.57,2002.12,298.0,180.07,1439.4
2007,USA,North America,BAU,478.23,1.352,20.08,21,21.73,2119.03,251.48,209.37,1480.17
2007,USA,North America,Green,299.03,0.699,33.03,11,31.23,2061.09,189.76,109.66,1327.36
2008,USA,North America,Historical,423.8,1.249,25.3,17,25.24,2004.23,299.86,166.7,1449.84
2008,USA,North America,Current (2020-2026),403.63,1.175,25.9,16,19.63,1771.17,300.99,183.8,1469.34
